,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Economies and Consumers Annual Data | Historical,,,,,,,,,,,,,,,,,
Geography,Category,Data Type,Unit,Current Constant,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Thailand,Inflation,Socio-economic indicators,% growth,-,3.811,3.013,2.185,1.896,-0.900,0.188,0.660,1.072,0.707,-0.847,1.232,6.078,1.227
Thailand,Money Supply,Socio-economic indicators,THB million,Current Prices,"1,413,540.0","1,597,148.0","1,661,304.0","1,682,469.0","1,778,078.0","1,864,192.0","2,038,861.0","2,095,155.0","2,214,392.0","2,529,837.0","2,883,750.0","2,973,786.0","3,095,737.0"
Thailand,"Producer Price Index, Manufacturing",Socio-economic indicators,2010 = 100,-,107.6,108.5,108.0,108.2,103.0,101.9,103.1,103.5,102.0,100.4,105.3,114.5,112.5
Thailand,Productivity,Socio-economic indicators,USD per person employed in constant prices,-,"10,216.9","10,818.9","11,123.7","11,481.7","11,856.1","12,366.7","12,965.3","13,377.2","13,741.8","12,877.1","13,050.0","12,904.2","13,046.5"
,,,,,,,,,,,,,,,,,
Research Sources:,,,,,,,,,,,,,,,,,
"Current Account Balance as % of GDP: Euromonitor International from national statistics/International Monetary Fund (IMF), World Economic Outlook (WEO)",,,,,,,,,,,,,,,,,
External debt as % of GDP: Euromonitor International from World Bank,,,,,,,,,,,,,,,,,
External debt: Euromonitor International from World Bank,,,,,,,,,,,,,,,,,
"GDP Deflator: Euromonitor International from national statistics/Eurostat/OECD/UN/International Monetary Fund (IMF), International Financial Statistics (IFS)",,,,,,,,,,,,,,,,,
"GDP Measured at Purchasing Power Parity: Euromonitor International from national statistics/Eurostat/OECD/UN/International Monetary Fund (IMF), International Financial Statistics (IFS)",,,,,,,,,,,,,,,,,
"GDP: Euromonitor International from national statistics/Eurostat/OECD/UN/International Monetary Fund (IMF), International Financial Statistics (IFS)",,,,,,,,,,,,,,,,,
"Gross National Income (GNI): Euromonitor International from International Monetary Fund (IMF), International Financial Statistics",,,,,,,,,,,,,,,,,
Gross Value Added: Euromonitor International from national statistics,,,,,,,,,,,,,,,,,
"GVA from Activities of Households, Extraterritorial Organizations and Undefined Sectors: Euromonitor International from national statistics",,,,,,,,,,,,,,,,,
"GVA from Agriculture, Hunting and Forestry: Euromonitor International from national statistics",,,,,,,,,,,,,,,,,
"GVA from Agriculture, Hunting, Forestry and Fishing: Euromonitor International from national statistics",,,,,,,,,,,,,,,,,
GVA from Construction: Euromonitor International from national statistics,,,,,,,,,,,,,,,,,
"GVA from Financial Intermediation, Real Estate, Renting and Business Activities: Euromonitor International from national statistics",,,,,,,,,,,,,,,,,
GVA from Fishing: Euromonitor International from national statistics,,,,,,,,,,,,,,,,,
GVA from Manufacture of Basic Metals and Fabricated Metal Products: Euromonitor International from national statistics,,,,,,,,,,,,,,,,,
"GVA from Manufacture of Chemicals, Chemical Products and Man-Made Fibers: Euromonitor International from national statistics",,,,,,,,,,,,,,,,,
"GVA from Manufacture of Coke, Refined Petroleum Products and Nuclear Fuel: Euromonitor International from national statistics",,,,,,,,,,,,,,,,,
GVA from Manufacture of Electrical and Optical Equipment: Euromonitor International from national statistics,,,,,,,,,,,,,,,,,
GVA from Manufacture of Food Products; Beverages and Tobacco: Euromonitor International from national statistics,,,,,,,,,,,,,,,,,
GVA from Manufacture of Leather and Leather Products: Euromonitor International from national statistics,,,,,,,,,,,,,,,,,
GVA from Manufacture of Machinery and Equipment: Euromonitor International from national statistics,,,,,,,,,,,,,,,,,
GVA from Manufacture of Other Non-Metallic Mineral Products: Euromonitor International from national statistics,,,,,,,,,,,,,,,,,
"GVA from Manufacture of Pulp, Paper and Paper Products; Publishing and Printing: Euromonitor International from national statistics",,,,,,,,,,,,,,,,,
GVA from Manufacture of Rubber and Plastic Products: Euromonitor International from national statistics,,,,,,,,,,,,,,,,,
GVA from Manufacture of Textiles and Textile Products: Euromonitor International from national statistics,,,,,,,,,,,,,,,,,
GVA from Manufacture of Transport Equipment: Euromonitor International from national statistics,,,,,,,,,,,,,,,,,
GVA from Manufacture of Wood and Wood Products: Euromonitor International from national statistics,,,,,,,,,,,,,,,,,
GVA from Manufacturing N.E.C.: Euromonitor International from national statistics,,,,,,,,,,,,,,,,,
GVA from Manufacturing: Euromonitor International from national statistics,,,,,,,,,,,,,,,,,
GVA from Mining and Quarrying Except Energy Producing Materials: Euromonitor International from national statistics,,,,,,,,,,,,,,,,,
GVA from Mining and Quarrying of Energy Producing Materials: Euromonitor International from national statistics,,,,,,,,,,,,,,,,,
GVA from Mining and Quarrying: Euromonitor International from national statistics,,,,,,,,,,,,,,,,,
"GVA from Mining and Quarrying; Manufacturing; Electricity, Gas and Water Supply: Euromonitor International from national statistics",,,,,,,,,,,,,,,,,
"GVA from Public Administration and Defence; Education; Health; Community, Social and Personal Service Activities; Other Activities: Euromonitor International from national statistics",,,,,,,,,,,,,,,,,
"GVA from Wholesale and Retail Trade; Repair of Motor Vehicles, Personal and Household Goods; Hotels and Restaurants; Transport, Storage and Communications: Euromonitor International from national statistics",,,,,,,,,,,,,,,,,
Industrial Production Index: Euromonitor International from UN/national statistics/Eurostat/OECD,,,,,,,,,,,,,,,,,
"Inflation: Euromonitor International from national statistics/Eurostat/OECD/UN/International Monetary Fund (IMF), International Financial Statistics (IFS)",,,,,,,,,,,,,,,,,
Manufacturing as a % of GVA: Euromonitor International from national statistics,,,,,,,,,,,,,,,,,
"Money Supply: Euromonitor International from national statistics/Eurostat/International Monetary Fund (IMF), International Financial Statistics (IFS)",,,,,,,,,,,,,,,,,
"Private Final Consumption Expenditure: Euromonitor International from national statistics/Eurostat/OECD/UN/International Monetary Fund (IMF), International Financial Statistics (IFS)",,,,,,,,,,,,,,,,,
"Producer Price Index, Manufacturing: Euromonitor International from national statistics/Eurostat/OECD",,,,,,,,,,,,,,,,,
Productivity: Euromonitor International from International Labour Organisation (ILO)/Eurostat/national statistics,,,,,,,,,,,,,,,,,
"Real GDP Growth: Euromonitor International from national statistics/Eurostat/OECD/UN/International Monetary Fund (IMF), World Economic Outlook (WEO)",,,,,,,,,,,,,,,,,
Services as a % of GVA: Euromonitor International from national statistics,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Date Exported (GMT): 2/14/2024 7:16:16 AM,,,,,,,,,,,,,,,,,
© Euromonitor International,,,,,,,,,,,,,,,,,
